fold,epoch,loss
1,1,0.6926603888471922
1,2,0.6870598768194517
1,3,0.6803438117106756
1,4,0.6698517923553785
1,5,0.6641663114229838
1,6,0.656037857135137
1,7,0.6489106292525927
1,8,0.6468582799037298
1,9,0.6427312095959982
1,10,0.6481458470225334
1,11,0.6446542715032896
1,12,0.6371680373946825
1,13,0.6388567785422007
1,14,0.6285887186725935
1,15,0.630036952594916
1,16,0.6334745784600576
1,17,0.6233971243103346
1,18,0.6196071753899256
1,19,0.6200862353046735
1,20,0.6130966916680336
1,21,0.6153645689288775
1,22,0.6079840411742529
1,23,0.6120259389281273
1,24,0.6022389481465021
1,25,0.6061754201849302
1,26,0.6038975715637207
1,27,0.594624417523543
1,28,0.5954213043053945
1,29,0.5943722402056059
1,30,0.5902070353428522
1,31,0.5918286095062891
1,32,0.5815279756983122
1,33,0.585549662510554
1,34,0.5838582838575045
1,35,0.5797883023818334
1,36,0.5826741009950638
1,37,0.5760080938537916
1,38,0.5714539463321368
1,39,0.5758074646194776
1,40,0.5714443971713384
1,41,0.5746090238293012
1,42,0.56105604271094
1,43,0.5575374886393547
1,44,0.5441367477178574
1,45,0.5471660420298576
1,46,0.5329346458117167
1,47,0.5240973308682442
1,48,0.508713940779368
1,49,0.4964787984887759
1,50,0.4866447026530902
1,51,0.47866781428456306
1,52,0.46554936096072197
1,53,0.4535367687543233
1,54,0.4458206854760647
1,55,0.438041062404712
1,56,0.4290221457680066
1,57,0.41934528201818466
1,58,0.41912614678343135
1,59,0.40861888354023296
1,60,0.4070303204158942
1,61,0.3996896781027317
1,62,0.3962679219742616
1,63,0.3930307837824027
1,64,0.38977955654263496
1,65,0.3903779461979866
1,66,0.3893451678256194
1,67,0.3904426184793313
1,68,0.3827221008638541
1,69,0.38369706521431607
1,70,0.381928700953722
1,71,0.3768696151673794
1,72,0.3802345469594002
1,73,0.3728697896003723
1,74,0.37523768718043965
1,75,0.3786729561785857
1,76,0.3744707716008027
1,77,0.37304657076795894
1,78,0.37584999576210976
1,79,0.3717185780405998
1,80,0.3711252460877101
1,81,0.3700452980895837
1,82,0.37331590553124744
1,83,0.3695233054459095
1,84,0.3682718736430009
1,85,0.36621254061659175
1,86,0.3700578957796097
1,87,0.37036147713661194
1,88,0.3726448950668176
1,89,0.36963274826606113
1,90,0.36983810116847354
1,91,0.37188364813725155
1,92,0.37075766051808995
1,93,0.3686925396323204
1,94,0.3724417860309283
1,95,0.3673053632179896
1,96,0.3680917223294576
1,97,0.371058360983928
1,98,0.36941379805405933
1,99,0.3679546316464742
1,100,0.3628838211297989
